id,map_rmse,path_rmse
slam_toolbox_0,0.0903741918103598,0.0673248865376233
slam_toolbox_1,0.088980421284016,0.0642100528142866
slam_toolbox_2,0.0421458627651441,0.0439545706927323
slam_toolbox_3,0.0878026432265524,0.0699459937795597
ekf_w_odom_0,0.2270956300955653,0.0716544826446899
ekf_w_odom_1,0.4223865178331862,0.0801328030910701
ekf_w_odom_2,0.4849685111884844,0.0892563930167266
ekf_w_odom_3,0.3630537459493455,0.1004109648504299
ekf_slam_0,1.0050993782395117,0.4457011800739517
ekf_slam_1,1.0993985082025086,0.4845079169453623
ekf_slam_2,1.1176198824874306,0.490393942850073
ekf_slam_3,1.0334443899892845,0.4194617338360763
